x, y, node
314.808,-181.755,1
629.616,0,2
944.424,-181.755,3
1259.232,0,4
1574.04,-181.755,5
314.808,-545.204,6
944.424,-545.204,7
1574.04,-545.204,8
629.616,-727.018,9
1259.232,-727.018,10
1888.848,-727.018,11
629.161,-1090.527,12
1259.232,-1090.527,13
1888.848,-1090.527,14
944.424,-1272.282,15
1574.04,-1272.282,16
0,-727.018,17
0,-1090.527,18
314.808,-1272.282,19
314.808,-1635.791,20
629.616,-1817.545,21
944.424,-1635.791,22
1259.232,-1817.545,23
1574.04,-1635.791,24
