x, y, node
104, 65, 1
250, 12, 2
376, 100, 3
518, 45, 4
647, 133, 5
70, 217, 6
352, 252, 7
636, 288, 8
198, 312, 9
487, 349, 10
775, 387, 11
166, 487, 12
467, 529, 13
768, 562, 14
303, 596, 15
620, 636, 16
-103, 271, 17
-122, 415, 18
4, 549, 19
